,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
235,1,30,1,,44.417,2.7027027027027026,34.5,115.7531997471412
236,1,30,1,,2.2775,0.0,0.9,
237,1,30,1,,1.7675,0.0,0.0,
238,1,30,1,,1.715,0.0,0.0,
239,1,30,1,,3.0655,0.0,0.1,
240,1,30,1,,104.8045,5.405405405405405,89.6,117.64216234937949
241,1,30,1,,104.931,2.7027027027027026,91.6,127.89688709708167
242,1,30,1,,68.868,2.7027027027027026,51.95,122.176153463595
243,1,30,1,,2.5375,0.0,0.0,
244,1,30,1,,2.7575,0.0,0.0,
245,1,30,1,,73.5535,2.7027027027027026,61.55,111.95332516494969
246,1,30,1,,43.0095,2.7027027027027026,34.7,157.65877538324244
247,1,30,1,,2.087,0.0,0.9,
248,1,30,1,,1.5795,0.0,0.0,
249,1,30,1,,2.701,0.0,0.0,
250,1,30,1,,1.1525,0.0,0.0,
251,1,30,1,,2.134,0.0,0.1,
252,1,30,1,,39.1695,0.0,37.5,
253,1,30,1,,78.479,2.7027027027027026,63.05,130.39677752679668
254,1,30,1,,2.727,0.0,0.5,
255,1,30,1,,86.8945,0.0,76.85,
256,1,30,1,,1.4915,0.0,0.0,
257,1,30,1,,1.3835,0.0,0.0,
258,1,30,1,,16.7,2.7027027027027026,14.05,126.09778031083256
259,1,30,1,,2.583,0.0,0.1,
260,1,30,1,,32.9025,5.405405405405405,31.5,133.51187797504855
261,1,30,1,,12.281,0.0,10.75,
262,1,30,1,,1.972,0.0,0.0,
263,1,30,1,,2.2925,0.0,0.0,
264,1,30,1,,2.892,0.0,0.0,
265,1,30,1,,43.291,2.7027027027027026,36.95,122.2566165475857
266,1,30,1,,36.124,0.0,30.8,
267,1,30,1,,75.744,8.108108108108109,66.25,116.61616271304688
268,1,30,1,,2.562,0.0,0.05,
269,1,30,1,,2.7935,0.0,0.25,
270,1,30,1,,71.4345,2.7027027027027026,60.7,115.97340083168362
271,1,30,1,,2.1195,0.0,0.0,
272,1,30,1,,54.982,0.0,45.75,
273,1,30,1,,77.588,2.7027027027027026,62.65,122.76582346543967
274,1,30,1,,1.693,0.0,0.0,
275,1,30,1,,30.056,2.7027027027027026,25.15,127.65978758612454
276,1,30,1,,100.46,0.0,81.7,
277,1,30,1,,2.0255,0.0,0.0,
278,1,30,1,,1.824,0.0,0.0,
279,1,30,1,,2.0555,0.0,0.0,
280,1,30,1,,3.3985,0.0,0.55,
281,1,30,1,,16.4805,2.7027027027027026,11.55,113.6057696790986
282,1,30,1,,2.3845,0.0,0.4,
283,1,30,1,,1.9285,0.0,0.0,
284,1,30,1,,2.354,0.0,0.0,
285,1,30,1,,1.854,0.0,0.0,
286,1,30,1,,3.2695,0.0,0.0,
287,1,30,1,,1.249,0.0,0.0,
288,1,30,1,,59.953,0.0,51.1,
289,1,30,1,,72.376,2.7027027027027026,58.55,122.72343535057502
290,1,30,1,,2.0345,0.0,0.0,
291,1,30,1,,2.8215,0.0,0.0,
292,1,30,1,,2.281,0.0,0.0,
293,1,30,1,,76.0215,0.0,56.25,
294,1,30,1,,76.356,0.0,61.4,
295,1,30,1,,1.8225,0.0,0.0,
296,1,30,1,,102.7145,2.7027027027027026,82.25,115.66320656135684
297,1,30,1,,2.474,0.0,0.0,
298,1,30,1,,2.222,0.0,0.0,
299,1,30,1,,1.6655,0.0,0.0,
300,1,40,1,,31.178,0.0,24.5,
301,1,40,1,,2.2415,0.0,0.0,
302,1,40,1,,88.4475,2.7027027027027026,70.7,113.87518276779306
303,1,40,1,,2.445,0.0,0.0,
304,1,40,1,,2.774,0.0,0.8,
305,1,40,1,,2.651,0.0,0.0,
306,1,40,1,,2.8405,0.0,0.0,
307,1,40,1,,2.4115,0.0,0.0,
308,1,40,1,,2.6045,0.0,0.0,
309,1,40,1,,2.3215,0.0,0.0,
310,1,40,1,,59.342,0.0,45.6,
311,1,40,1,,92.75,2.7027027027027026,80.45,139.78729717621076
312,1,40,1,,2.4635,0.0,0.0,
313,1,40,1,,53.515,2.7027027027027026,46.55,132.68908184822325
314,1,40,1,,80.845,0.0,60.35,
315,1,40,1,,88.2665,2.7027027027027026,88.1,136.6827232683431
316,1,40,1,,2.2505,0.0,0.5,
317,1,40,1,,94.7595,0.0,80.65,
318,1,40,1,,2.706,0.0,0.0,
319,1,40,1,,1.7745,0.0,0.0,
